4) Specifica il codice ISTAT del tuo comune,6) Il tuo territorio ha problemi di connettività a internet? ,"7) Il tuo sindaco o un assessore, ti ha incontrato come Digital Champion?","8) Il comune durante il 2014-15, ha organizzato o finanzia iniziative per aumentare la cultura digitale?",10) C'è e come ci si registra al wi fi pubblico nel comune di cui sei DC?,"11) Il wi fi pubblico, per quanto tempo è accessibile al giorno?",12) Hai verificato la qualità del sito web del tuo comune?   ,13) Quali servizi on line ci sono?,14) Il tuo comune è presente su facebook? E come viene gestito?,15) Il tuo comune è presente su twitter e come viene gestito? *,18) Il tuo comune rilascia dati in formato aperto e riusabile (open data) *,C'è una comunità che organizza Coderdojo? Quanto è attiva?,20) Ci sono iniziative di alfabetizzazione digitale?  *,22) Puoi segnalare quante startup innovative ci sono nella provincia del tuo comune?,23) Puoi segnalare quanti incubatori registrati ci sono nel tuo comune?,"25) Ci sono altri spazi adibiti alla promozione del digitale come coworking, fablab e altro?  *",29) Quale priorità segnali per il tuo comune?  *,Comune,Provincia,Regione,Grandezza_comune,Abitanti,,,,,,,,,,,,,,,,,,,,,,,,,,Scegli un tema che vorresti approfondire come digital champion
42021,la connettività non supera i 20 Megabit,no,"no, non hai mai organizzato nulla",tramite servizi collegati al telefono mobile (es. sms o telefonata),tra 1h e 2h,fino a 10 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Piattaforma per consultazioni online, Servizi informativi meteo e dati ambientali, Servizi informativi per situazioni di emergenza, URP online, Sportello Unico online, Al punto 12 ho messo la spunta al punto 1 ma il sito in realtà non è raggiungibile per il monitoraggio",è presente ma non risponde a commenti e domande,è presente ma non risponde ai commenti,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,20,1,si,"aumentare la connettività, aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende, avviare coderdojo",Jesi,AN,MAR,GRANDE,40635,,,,,,,,,,,,,,,,,,,,,,,,,,
42017,la connettività non supera i 20 Megabit,"Il sindaco e l'assessore al Software Libero mi conoscono perché dal 2003 sono attivo con il Software Libero sul territorio, ma non gli ho ancora comunicato il mio ruolo di DC, pensavo di farlo a metà settembre al ritorno stabile al lavoro. Il 7 agosto il Sindaco ha saputo del mio ruolo tramite un Digital Supporter","si, ha organizzato più eventi",il wi fi pubblico c'è e non è necessaria nessuna iscrizione,non c'è nessun limite,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Piattaforma per consultazioni online, URP online, Sportello Unico online, bilancio online, Ricerca pratiche edlizie, Sistema informativo territoriale, autcertificazione telematica",è presente e risponde a commenti e domande,"è presente, ma l'ultimo tweet è del 30 sett. 2014",esiste una sezione o portale open data con dataset di vari uffici,"Il gruppo del makerspace di Fabriano organizza  insieme al Coderdojo di Sigillo (PG, Umbria) attività di making e coding con frequenza una volta al mese sia nel comune di Fabriano che in quello di Sigillo. La maggior parte dei mentor del Coderdojo Sigillo provengono da Fabriano (mentre la maggior parte dei bambini proviene da Sigillo...) . I mentor del makerspace sono stati attivi nella creazioni dei contenuti e di mentoring per il Teacherdojo Roma. https://teacherdojoroma.wordpress.com/chi-siamo/","Ci sono iniziative per l’alfabetizzazione verso giovani, Ci sono iniziative per l’alfabetizzazione verso anziani",82,"Al link indicato non risultano, ma di recente a Fabriano è stato avviato  Villa Miliani Factory da Evolve srl in collaborazione con The Hive di Ancona",si,"aumentare la connettività, aumentare il wi fi pubblico, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende, aumentare formazione di tecnologie open source, aumentare le politiche a supporto delle startup, aumentare diffusione dei fablab e della digitalizzazione della manifattura,  la domanda chiede una sola priorità,         anche se il foglio consente di specificarne più di una, secondo me è fondamentale focalizzare le energie su un centro per il nuovo sviluppo del territorio che sia luogo di riferimento autorevole per singoli, associazioni, imprese ed enti e quindi su di esso si concentrino attività e visibilità organica per un'organizzazione sistemica del territorio. Quel centro fungerà da riferimento per l'analisi dei punti sopraelencati e per tenere traccia dello stato dei lavori",Fabriano,AN,MAR,GRANDE,31971,,,,,,,,,,,,,,,,,,,,,,,,,,
42014,la connettività non supera i 20 Megabit,no,"no, non hai mai organizzato nulla","Copertura locali biblioteca comunale, credenziali fornite dal personale della biblioteca",non c'è nessun limite,fino a 10 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Piattaforma per consultazioni online, Sportello Unico online",è presente e risponde a commenti e domande,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Saltuariamente vengono organizzati incontri ma nulla di continuativo,78,0,no,"aumentare il wi fi pubblico, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare diffusione dei fablab e della digitalizzazione della manifattura",Chiaravalle,AN,MAR,MEDIO,15036,,,,,,,,,,,,,,,,,,,,,,,,,,
42006,AREA BIANCA: 30 MB,si,"no, non hai mai organizzato nulla",non c'è nessun servizio di wi fi pubblico,NON C'E' IL WI FI PUBBLICO ,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Piattaforma per consultazioni online, Servizi informativi meteo e dati ambientali, Servizi informativi per situazioni di emergenza, Sportello Unico online",è presente e risponde a commenti e domande,non è presente su  twitter,"esiste una sezione open data ma ristretta solo agli adempimenti di legge sulla trasparenza, esiste una sezione o portale open data con dataset di vari uffici",non c'è nel mio comune,"Ci sono iniziative per l’alfabetizzazione verso giovani, Ci sono iniziative per l’alfabetizzazione verso anziani",n. 79 ,nessuno ,no,"aumentare la connettività, aumentare il wi fi pubblico, fare formazione sul crowdfunding, avviare coderdojo, aumentare formazione di tecnologie open source, aumentare diffusione dei fablab e della digitalizzazione della manifattura",Camerano,AN,MAR,MEDIO,7268,,,,,,,,,,,,,,,,,,,,,,,,,,
42002,Non abbiamo problemi di connettività,si,"si, ha organizzato 1 evento",tramite servizi collegati al telefono mobile (es. sms o telefonata),4 h,fino a 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Piattaforma per consultazioni online, Servizi informativi meteo e dati ambientali, Servizi informativi traffico e mobilità, Servizi informativi per situazioni di emergenza, Pagamento online tasse e tariffe comunali, Pagamento multe",è presente e risponde a commenti e domande,è presente e risponde,esiste una sezione open data ma ristretta solo agli adempimenti di legge sulla trasparenza,c'è stata una iniziativa,Saltuariamente vengono organizzati incontri ma nulla di continuativo,23,2,si,"aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare diffusione dei fablab e della digitalizzazione della manifattura",Ancona,AN,MAR,GRANDE,102997,,,,,,,,,,,,,,,,,,,,,,,,,,
41068,la connettività non supera i 20 Megabit,no,"no, non hai mai organizzato nulla",non c'è nessun servizio di wi fi pubblico,,fino a 10 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Sportello Unico online",non è presente su facebook,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,1,0,si,"aumentare la connettività, aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, avviare coderdojo",Vallefoglia,PU,MAR,MEDIO,15001,,,,,,,,,,,,,,,,,,,,,,,,,,
41067,la connettività non supera i 20 Megabit,si,"si, ha organizzato 1 evento",tramite servizi collegati al telefono mobile (es. sms o telefonata),24h distribuite in 30gg,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Piattaforma per consultazioni online, Sportello Unico online","è presente e risponde a commenti e domande, è presente anche durante il weekend, in occasione dell'emergenza neve del 2012 FB è stato usato per coordinamento e infomrazione",è presente e risponde anche durante i weekend,esiste una sezione open data ma ristretta solo agli adempimenti di legge sulla trasparenza,"Non ci sono CoderDojo, ma il coordinamento di Europe Code Week",Ci sono iniziative per l’alfabetizzazione verso giovani,1,0,si,"aumentare la connettività, aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, fare formazione sul crowdfunding, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende, aumentare formazione di tecnologie open source, aumentare le politiche a supporto delle startup, aumentare diffusione dei fablab e della digitalizzazione della manifattura, sensibilizzare gli amministratori e i cittadini all'importanza intersettoriale della digitalizzazione e alle opportunità ad essa associate",Urbino,PU,MAR,MEDIO,15627,,,,,,,,,,,,,,,,,,,,,,,,,,
41062,la connettività non supera i 20 Megabit,no,"no, non hai mai organizzato nulla",non c'è nessun servizio di wi fi pubblico,assente,fino a 40 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Servizi informativi per situazioni di emergenza","non è presente su facebook, è presente ma non risponde a commenti e domande",non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,0,0,no,"aumentare la connettività, aumentare il wi fi pubblico, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione",Serrungarina,PU,MAR,PICCOLO,2592,,,,,,,,,,,,,,,,,,,,,,,,,,
41049,la connettività non supera i 20 Megabit,no,"no, non hai mai organizzato nulla",non c'è nessun servizio di wi fi pubblico,,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Piattaforma per consultazioni online",non è presente su facebook,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,0,0,no,"aumentare la connettività, aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale",Piobbico,PU,MAR,PICCOLO,2118,,,,,,,,,,,,,,,,,,,,,,,,,,
41044,la connettività non supera i 100 Megabit,si,"si, ha organizzato più eventi","""Pesaro WiFi"" è un'iniziativa del Comune di Pesaro per fornire un servizio internet senza fili gratuito in piazze, biblioteche e centri di aggregazione.",non c'è nessun limite,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Piattaforma per consultazioni online, Servizi informativi meteo e dati ambientali, Servizi informativi traffico e mobilità, Servizi informativi per situazioni di emergenza","è presente ma non risponde a commenti e domande, è presente e risponde a commenti e domande",è presente e risponde,esiste una sezione open data ma ristretta solo agli adempimenti di legge sulla trasparenza,1 volta al mese,Saltuariamente vengono organizzati incontri ma nulla di continuativo,11,0,si,"aumentare la connettività, aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, fare formazione sul crowdfunding, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende, aumentare formazione di tecnologie open source, aumentare le politiche a supporto delle startup, aumentare diffusione dei fablab e della digitalizzazione della manifattura",Pesaro,PU,MAR,GRANDE,95011,,,,,,,,,,,,,,,,,,,,,,,,,,
41034,la connettività non supera i 10 Megabit,no,"no, non hai mai organizzato nulla",non c'è nessun servizio di wi fi pubblico,non c'è,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Servizi informativi meteo e dati ambientali, Servizi informativi per situazioni di emergenza",è presente ma non risponde a commenti e domande,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,0,0,no,"aumentare la connettività, aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale alle aziende",Montefelcino,PU,MAR,PICCOLO,2769,,,,,,,,,,,,,,,,,,,,,,,,,,
41023,la connettività non supera i 20 Megabit,si,"no, non hai mai organizzato nulla",tramite servizi collegati al telefono mobile (es. sms o telefonata),massimo 1h,fino a 40 indicatori soddisfatti,Servizi informativi per bandi e concorsi pubblici,è presente e risponde a commenti e domande,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Saltuariamente vengono organizzati incontri ma nulla di continuativo,2,2,no,"supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende, aumentare formazione di tecnologie open source, aumentare le politiche a supporto delle startup, aumentare diffusione dei fablab e della digitalizzazione della manifattura",Macerata Feltria,PU,MAR,PICCOLO,2133,,,,,,,,,,,,,,,,,,,,,,,,,,
41020,la connettività non supera i 20 Megabit,no,"no, non hai mai organizzato nulla",non c'è nessun servizio di wi fi pubblico,,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Piattaforma per consultazioni online",è presente e risponde a commenti e domande,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Saltuariamente vengono organizzati incontri ma nulla di continuativo,29,0,no,"aumentare la connettività, supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende, avviare coderdojo, aumentare formazione di tecnologie open source, aumentare le politiche a supporto delle startup",Gradara,PU,MAR,PICCOLO,4764,,,,,,,,,,,,,,,,,,,,,,,,,,
41015,MINORE 20Mb ma molte parti inferiore a 10 Mb e gravi problemi connettività per certe aziende,si,"no, non hai mai organizzato nulla",non c'è nessun servizio di wi fi pubblico,non è accessibile,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Servizi informativi meteo e dati ambientali, Sportello Unico online, servizi comune, uffici, amministrazione trasparente",non è presente su facebook,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,1,0,no,"aumentare la connettività, aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, fare formazione sul crowdfunding, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende, avviare coderdojo, aumentare formazione di tecnologie open source, aumentare le politiche a supporto delle startup, aumentare diffusione dei fablab e della digitalizzazione della manifattura, C'è bisogno di tutto ma a partire da alfabetizzazione e raccolta necessità persone.",Fossombrone,PU,MAR,MEDIO,9823,,,,,,,,,,,,,,,,,,,,,,,,,,
41013,la connettività non supera i 20 Megabit,"Si ma poi concretamente, hanno dimostrato disinteresse.","no, non hai mai organizzato nulla",il wi fi pubblico c'è e non è necessaria nessuna iscrizione,non c'è nessun limite,fino a 10 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Servizi informativi per situazioni di emergenza",non è presente su facebook,non è presente su  twitter,esiste una sezione o portale open data con dataset di vari uffici,non c'è nel mio comune,Non c'è stata nessuna iniziativa,0,0,si,"supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale alle aziende, report sulla situazione digital a Fano",Fano,PU,MAR,GRANDE,64100,,,,,,,,,,,,,,,,,,,,,,,,,,
40045,la connettività non supera i 20 Megabit,si,"no, non hai mai organizzato nulla",tramite servizi collegati al telefono mobile (es. sms o telefonata),tra 1h e 2h,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Piattaforma per consultazioni online, Servizi informativi meteo e dati ambientali, Servizi informativi traffico e mobilità, Servizi informativi per situazioni di emergenza, URP online",non è presente su facebook,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Ci sono iniziative per l’alfabetizzazione verso giovani,34,0,no,"aumentare la connettività, aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende, avviare coderdojo, aumentare formazione di tecnologie open source",Savignano sul Rubicone,FC,EMR,MEDIO,17653,,,,,,,,,,,,,,,,,,,,,,,,,,
40012,Non abbiamo problemi di connettività,si,"no, non hai mai organizzato nulla",cè una brigosa procedura di autenticazione ,tra 1h e 2h,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Piattaforma per consultazioni online, Servizi informativi meteo e dati ambientali, Servizi informativi traffico e mobilità, Servizi informativi per situazioni di emergenza, Pagamento online tasse e tariffe comunali, Pagamento multe",è presente ma non risponde a commenti e domande,non è presente su  twitter,esiste una sezione o portale open data con dataset di vari uffici,"esiste, la sto promuovendo anche con il Comune per diffonderne la conoscenza e l'utilizzo nelle scuole",Non c'è stata nessuna iniziativa,30,0,si,"fare formazione sul crowdfunding, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare le politiche a supporto delle startup, aumentare diffusione dei fablab e della digitalizzazione della manifattura",Forl�,FC,EMR,GRANDE,118167,,,,,,,,,,,,,,,,,,,,,,,,,,
40008,la connettività non supera i 20 Megabit,si,"no, non hai mai organizzato nulla",tramite servizi collegati al telefono mobile (es. sms o telefonata),non c'è nessun limite,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, URP online, Segnalazioni lavoro nero",è presente ma non risponde a commenti e domande,non è presente su  twitter,esiste una sezione open data ma ristretta solo agli adempimenti di legge sulla trasparenza,non c'è nel mio comune,Saltuariamente vengono organizzati incontri ma nulla di continuativo,34,0,no,"aumentare la connettività, supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale alle aziende, aumentare le politiche a supporto delle startup",Cesenatico,FC,EMR,MEDIO,25633,,,,,,,,,,,,,,,,,,,,,,,,,,
40007,"98% 20 Mb, 29,3% 30 Mb",si,"no, non hai mai organizzato nulla",tramite servizi collegati al telefono mobile (es. sms o telefonata),"​Cesenawifi, da quando è stato attivato (2011) è accessibile 24 ore su 24 e senza limiti di quantità di dati scaricati. Ma ha un timer dopo di che ci si deve riconnettere. Hanno dovuto limitare lla connessione perché dicono che diversi cittadini hanno disdetto i loro abbonamenti per utilizzare quella del comune.",oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Piattaforma per consultazioni online, Servizi informativi traffico e mobilità, Servizi informativi per situazioni di emergenza, Pagamento online tasse e tariffe comunali, Pagamento multe, URP online, Sportello Unico online",è presente ma non risponde a commenti e domande,è presente ma non risponde ai commenti,esiste una sezione o portale open data con dataset di vari uffici,1 volta al mese,"Ci sono iniziative per l’alfabetizzazione verso giovani, Ci sono iniziative per l’alfabetizzazione verso anziani",15,1,si,"aumentare la connettività, aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende, aumentare formazione di tecnologie open source, aumentare le politiche a supporto delle startup, aumentare diffusione dei fablab e della digitalizzazione della manifattura",Cesena,FC,EMR,GRANDE,97056,,,,,,,,,,,,,,,,,,,,,,,,,,
39016,la connettività non supera i 20 Megabit,no,"si, ha organizzato 1 evento",registrazione su FEDERA (procedura lunga e insopportabile),non c'è nessun limite,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Servizi informativi meteo e dati ambientali, Servizi informativi per situazioni di emergenza",non è presente su facebook,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,"Ci sono iniziative per l’alfabetizzazione verso giovani, Ci sono iniziative per l’alfabetizzazione verso anziani",13,0,no,"aumentare la connettività, supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale alle aziende, aumentare le politiche a supporto delle startup, aumentare diffusione dei fablab e della digitalizzazione della manifattura",Russi,RA,EMR,MEDIO,12286,,,,,,,,,,,,,,,,,,,,,,,,,,
39014,la connettività non supera i 100 Megabit,si,"si, ha organizzato eventi e ha un'agenda digitale",il wi fi pubblico c'è e non è necessaria nessuna iscrizione,non c'è nessun limite,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Servizi informativi meteo e dati ambientali, Servizi informativi traffico e mobilità, Servizi informativi per situazioni di emergenza, Pagamento online tasse e tariffe comunali, Pagamento multe, URP online, Sportello Unico online",è presente e risponde a commenti e domande,è presente ma non risponde ai commenti,esiste una sezione o portale open data con dataset di vari uffici,1 volta al mese,"Ci sono iniziative per l’alfabetizzazione verso giovani, Ci sono iniziative per l’alfabetizzazione verso anziani",0,0,si,"supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, avviare coderdojo, aumentare diffusione dei fablab e della digitalizzazione della manifattura",Ravenna,RA,EMR,GRANDE,158739,,,,,,,,,,,,,,,,,,,,,,,,,,
39012,la connettività non supera i 20 Megabit,no,"no, non hai mai organizzato nulla",Si accede con le credenziali FedERa dopo essersi registrati qui : http://federazione.lepida.it/registrati,non c'è nessun limite,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Pagamento online tasse e tariffe comunali, Pagamento multe, URP online, Sportello Unico online",non è presente su facebook,non è presente su  twitter,esiste una sezione o portale open data con dataset di vari uffici aggiornati e con infografiche di supporto,non c'è nel mio comune,"Ci sono iniziative per l’alfabetizzazione verso giovani, Ci sono iniziative per l’alfabetizzazione verso anziani",36,1,si,"aumentare la connettività, supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, avviare coderdojo, aumentare formazione di tecnologie open source, aumentare le politiche a supporto delle startup, maggiore presenza sui social dell'amministrazione",Lugo,RA,EMR,GRANDE,32777,,,,,,,,,,,,,,,,,,,,,,,,,,
39007,la connettività non supera i 20 Megabit,no,"no, non hai mai organizzato nulla",tramite servizi collegati al telefono mobile (es. sms o telefonata),non c'è nessun limite,fino a 20 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Servizi informativi meteo e dati ambientali, Servizi informativi per situazioni di emergenza, Pagamento online tasse e tariffe comunali","è presente e risponde a commenti e domande, è presente anche durante il weekend",non è presente su  twitter,non esiste una sezione open data,c'è stata una iniziativa,Saltuariamente vengono organizzati incontri ma nulla di continuativo,2,0,no,"aumentare la connettività, aumentare il wi fi pubblico, aumentare le politiche a supporto delle startup",Cervia,RA,EMR,MEDIO,29180,,,,,,,,,,,,,,,,,,,,,,,,,,
39004,la connettività non supera i 20 Megabit,"Previsto il 7 ottobre incontro ad hoc con Sindaco, Assessori, alcuni consiglieri della Giunta per presentarmi, raccontare l'opportunità, raccogliere i bisogni. Come comunicato più volte, io sono di Faenza (dove ho rapporti diretti con Giunta e Comune, qui a Brisighella ho dovuto ""iniziare da zero"". Ma sono riuscita a ottenere l'incontro (con una rappresentanza significativa parrebbe...). Confido di proporre iniziative congiunte a livello di Unione Comuni della Romagna Faentina (Faenza - Casola - Brisighella) in sinergia con DG di Faenza (Francesco Fullone) e utilizzando le relazioni e i contatti che ho su Faenza sia a livello istituzionale che di attori del distretto dell'innovazione).","si, ha organizzato più eventi","Era stato avviato nel 2013 un progetto denominato ""Borghi Digitali"" per la realizzazione wifi pubblico. Ma non sembra essere approdato a risultati. Il 7 chiederò informazioni a riguardo. ",,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Contenuti di qualità, aggiornati e con una soddisfacente user experience ma totalmente assente la parte dinamica /interattiva per svolgere azioni online (pagamenti / segnalazioni).",non è presente su facebook,non è presente su  twitter,"esiste una sezione open data ma ristretta solo agli adempimenti di legge sulla trasparenza, esiste una sezione o portale open data con dataset di vari uffici",non c'è nel mio comune,"Ci sono iniziative per l’alfabetizzazione verso giovani, Ci sono iniziative per l’alfabetizzazione verso anziani",1 - Atena srl - non la conosco; no website,0,no,"aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, fare formazione sul crowdfunding, aumentare l'alfabetizzazione digitale alle aziende",Brisighella,RA,EMR,MEDIO,7847,,,,,,,,,,,,,,,,,,,,,,,,,,
38021,la connettività non supera i 10 Megabit,si,"si, ha organizzato più eventi",non c'è nessun servizio di wi fi pubblico,,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Servizi informativi traffico e mobilità, Servizi informativi per situazioni di emergenza",è presente ma non risponde a commenti e domande,non è presente su  twitter,non esiste una sezione open data,c'è stata una iniziativa,"Ci sono iniziative per l’alfabetizzazione verso giovani, Ci sono iniziative per l’alfabetizzazione verso anziani",0,0,no,"aumentare la connettività, aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, fare formazione sul crowdfunding, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, avviare coderdojo, aumentare formazione di tecnologie open source, aumentare le politiche a supporto delle startup",Sant'Agostino,FE,EMR,MEDIO,7106,,,,,,,,,,,,,,,,,,,,,,,,,,
38019,la connettività non supera i 20 Megabit,no,"no, non hai mai organizzato nulla",ci si registra passando per un ufficio,non c'è nessun limite,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Piattaforma per consultazioni online, Sportello Unico online",non è presente su facebook,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,0,0,no,"aumentare la connettività, aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale alle aziende, aumentare formazione di tecnologie open source",Portomaggiore,FE,EMR,MEDIO,12445,,,,,,,,,,,,,,,,,,,,,,,,,,
38008,la connettività non supera i 20 Megabit,si,"si, ha organizzato eventi e ha un'agenda digitale",tramite servizi collegati al telefono mobile (es. sms o telefonata),non c'è nessun limite,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Pagamento online tasse e tariffe comunali, Pagamento multe, Sportello Unico online","non è presente su facebook, https://www.facebook.com/ferraraturismo",non è presente su  twitter,esiste una sezione open data ma ristretta solo agli adempimenti di legge sulla trasparenza,non c'è nel mio comune,Ci sono iniziative per l’alfabetizzazione verso anziani,22,0,si,"aumentare la connettività, aumentare il wi fi pubblico, avviare coderdojo, aumentare formazione di tecnologie open source, aumentare le politiche a supporto delle startup",Ferrara,FE,EMR,GRANDE,135369,,,,,,,,,,,,,,,,,,,,,,,,,,
38004,la connettività non supera i 20 Megabit,no,"no, non hai mai organizzato nulla",il wi fi pubblico c'è e non è necessaria nessuna iscrizione,non c'è nessun limite,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, URP online, Sportello Unico online",è presente ma non risponde a commenti e domande,non è presente su  twitter,esiste una sezione open data ma ristretta solo agli adempimenti di legge sulla trasparenza,saltuariamente vengono organizzati,Saltuariamente vengono organizzati incontri ma nulla di continuativo,31,0,no,"aumentare la connettività, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende, aumentare le politiche a supporto delle startup, aumentare diffusione dei fablab e della digitalizzazione della manifattura",Cento,FE,EMR,GRANDE,35582,,,,,,,,,,,,,,,,,,,,,,,,,,
38003,la connettività non supera i 20 Megabit,si,"no, non hai mai organizzato nulla",tramite mail,non c'è nessun limite,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Servizi informativi meteo e dati ambientali, Servizi informativi traffico e mobilità, Servizi informativi per situazioni di emergenza, Pagamento online tasse e tariffe comunali, Pagamento multe, URP online, Sportello Unico online",è presente e pubblica ma non so se risponde a commenti e domande,è presente e pubblica ma non so se risponde a commenti e domande,esiste una sezione open data ma ristretta solo agli adempimenti di legge sulla trasparenza,non c'è nel mio comune,Non c'è stata nessuna iniziativa,0,0,no,"aumentare la connettività, aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende, avviare coderdojo, aumentare formazione di tecnologie open source, aumentare diffusione dei fablab e della digitalizzazione della manifattura",Bondeno,FE,EMR,MEDIO,15401,,,,,,,,,,,,,,,,,,,,,,,,,,
